UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
04Q,Tradewind Aviation,13535,MVL,12197,HPN,479,1
04Q,Tradewind Aviation,12197,HPN,13535,MVL,479,1
04Q,Tradewind Aviation,14648,RUT,14182,PNE,479,1
04Q,Tradewind Aviation,12932,LEB,12197,HPN,479,1
04Q,Tradewind Aviation,15024,STT,14843,SJU,479,1
04Q,Tradewind Aviation,10154,ACK,13398,MMU,479,1
04Q,Tradewind Aviation,10154,ACK,12197,HPN,479,1
04Q,Tradewind Aviation,10154,ACK,15167,TEB,479,1
04Q,Tradewind Aviation,11728,FOK,11842,GAI,479,1
04Q,Tradewind Aviation,11842,GAI,12197,HPN,479,1
04Q,Tradewind Aviation,13398,MMU,10154,ACK,479,1
04Q,Tradewind Aviation,13535,MVL,12250,HYA,479,1
04Q,Tradewind Aviation,13535,MVL,12197,HPN,479,1
04Q,Tradewind Aviation,13541,MVY,10540,BED,479,1
04Q,Tradewind Aviation,13541,MVY,12197,HPN,479,1
04Q,Tradewind Aviation,13541,MVY,15167,TEB,479,1
04Q,Tradewind Aviation,13987,OXC,15096,SYR,479,1
04Q,Tradewind Aviation,15027,STX,15024,STT,479,1
04Q,Tradewind Aviation,10990,CHO,13398,MMU,479,1
04Q,Tradewind Aviation,15096,SYR,13987,OXC,479,1
04Q,Tradewind Aviation,15096,SYR,11961,GON,479,1
04Q,Tradewind Aviation,10504,BBX,10721,BOS,479,1
04Q,Tradewind Aviation,10975,CGS,12197,HPN,479,1
04Q,Tradewind Aviation,13931,ORF,15167,TEB,479,1
04Q,Tradewind Aviation,16520,DE2,12197,HPN,479,1
04Q,Tradewind Aviation,16571,1NY,12197,HPN,479,1
04Q,Tradewind Aviation,14557,RMN,12197,HPN,479,1
04Q,Tradewind Aviation,15054,SVH,14557,RMN,479,1
04Q,Tradewind Aviation,15427,UBF,13535,MVL,479,1
04Q,Tradewind Aviation,15879,WVL,14307,PVD,479,1
04Q,Tradewind Aviation,15626,VQS,14843,SJU,479,1
04Q,Tradewind Aviation,14307,PVD,12197,HPN,479,1
04Q,Tradewind Aviation,14307,PVD,15167,TEB,479,1
04Q,Tradewind Aviation,12264,IAD,12197,HPN,479,1
04Q,Tradewind Aviation,12264,IAD,15167,TEB,479,1
04Q,Tradewind Aviation,12264,IAD,10257,ALB,479,1
04Q,Tradewind Aviation,11961,GON,15096,SYR,479,1
04Q,Tradewind Aviation,14112,PIE,14843,SJU,479,1
04Q,Tradewind Aviation,10540,BED,13541,MVY,479,1
04Q,Tradewind Aviation,11697,FLL,14112,PIE,479,1
04Q,Tradewind Aviation,12197,HPN,10792,BUF,479,1
04Q,Tradewind Aviation,12197,HPN,14648,RUT,479,1
04Q,Tradewind Aviation,12197,HPN,14539,RKD,479,1
04Q,Tradewind Aviation,12197,HPN,13541,MVY,479,1
04Q,Tradewind Aviation,12197,HPN,13535,MVL,479,1
04Q,Tradewind Aviation,12197,HPN,10154,ACK,479,1
04Q,Tradewind Aviation,12197,HPN,12932,LEB,479,1
04Q,Tradewind Aviation,12197,HPN,10975,CGS,479,1
04Q,Tradewind Aviation,12197,HPN,16520,DE2,479,1
04Q,Tradewind Aviation,12197,HPN,16571,1NY,479,1
04Q,Tradewind Aviation,12197,HPN,15054,SVH,479,1
04Q,Tradewind Aviation,12197,HPN,12264,IAD,479,1
04Q,Tradewind Aviation,12197,HPN,10721,BOS,479,1
04Q,Tradewind Aviation,12197,HPN,12917,LCK,479,1
04Q,Tradewind Aviation,12197,HPN,10257,ALB,479,1
04Q,Tradewind Aviation,14843,SJU,15024,STT,479,1
04Q,Tradewind Aviation,14843,SJU,15027,STX,479,1
04Q,Tradewind Aviation,14843,SJU,11697,FLL,479,1
04Q,Tradewind Aviation,14843,SJU,13105,LUK,479,1
04Q,Tradewind Aviation,15167,TEB,10154,ACK,479,1
04Q,Tradewind Aviation,12917,LCK,12197,HPN,479,1
04Q,Tradewind Aviation,13105,LUK,14843,SJU,479,1
04Q,Tradewind Aviation,10257,ALB,12197,HPN,479,1
04Q,Tradewind Aviation,12478,JFK,13296,MHT,479,1
04Q,Tradewind Aviation,14696,SBN,12197,HPN,646,1
04Q,Tradewind Aviation,10158,ACY,11996,GSP,646,1
04Q,Tradewind Aviation,12391,ISP,11697,FLL,646,1
04Q,Tradewind Aviation,11376,DPA,10257,ALB,646,1
04Q,Tradewind Aviation,14397,QMA,15167,TEB,646,1
04Q,Tradewind Aviation,15628,VRB,12197,HPN,646,1
04Q,Tradewind Aviation,15628,VRB,14843,SJU,646,1
04Q,Tradewind Aviation,14492,RDU,14100,PHL,646,1
04Q,Tradewind Aviation,14100,PHL,14492,RDU,646,1
04Q,Tradewind Aviation,14307,PVD,10329,APF,646,1
04Q,Tradewind Aviation,10329,APF,11618,EWR,646,1
04Q,Tradewind Aviation,12197,HPN,13487,MSP,646,1
04Q,Tradewind Aviation,12197,HPN,14696,SBN,646,1
04Q,Tradewind Aviation,12197,HPN,13577,MYR,646,1
